Numer osobnika,Gatunek,Data z³apania,Waga samicy (mg),Waga kokonu (mg),Liczba jaj,Liczba prelarw/ embryo,Liczba larw/ juvenile,Liczba nimf,Liczba potomstwa ogó³em,Parazytoid TAK/NIE,Parazytoid stadium,D³ugoœæ g³owotu³owia [µm],Szerokoœæ g³owotu³owia [µm],Pomiar kokonu I [µm],Pomiar kokonu II [µm],Populacja
KAM_10,Pardosa lugubris,5/23/2018,23.7,20.5,2,52,,,54,NIE,,2927,2349,4616,4689,KAM
KAM_11,Pardosa lugubris,5/23/2018,19,18,46,,,,46,NIE,,2827,2132,4140,3992,KAM
KAM_12,Pardosa lugubris,5/23/2018,19.6,17,38,,,,38,NIE,,2809,2163,3764,3723,KAM
KAM_13,Pardosa lugubris,5/23/2018,16.9,15.9,46,,,,46,NIE,,2777,2059,4143,3461,KAM
KAM_14,Pardosa lugubris,5/23/2018,19.2,13.5,30,,,,30,NIE,,2780,2134,3664,3464,KAM
KAM_15,Pardosa lugubris,5/23/2018,22.7,20.9,52,,,,52,NIE,,3046,2320,4330,3864,KAM
KAM_16,Pardosa lugubris,5/23/2018,21.1,17.7,43,,,,43,NIE,,2849,2222,4055,3798,KAM
KAM_18,Pardosa lugubris,5/23/2018,30.2,29.1,60,,,,60,NIE,,3328,2594,4688,4631,KAM
KAM_19,Pardosa lugubris,5/23/2018,17,13.5,,37,,,37,NIE,,2713,2037,3510,3576,KAM
KAM_20,Pardosa lugubris,5/23/2018,25.3,18.5,45,,,,45,NIE,,3173,2458,3942,3864,KAM
KAM_21,Pardosa lugubris,5/23/2018,20.8,11,?,,,,,NIE,,2872,2186,,,KAM
KAM_ 23,Pardosa lugubris,5/23/2018,18.5,16.9,,44,,,44,NIE,,2815,2196,4078,4060,KAM
KAM_1,Pardosa lugubris,5/30/2018,16.1,16.9,,41,,,41,NIE,,2615,2085,4139,4069,KAM
KAM_2,Pardosa lugubris,5/30/2018,16.4,14.6,,40,,,40,NIE,,2634,2056,4436,3908,KAM
KAM_3,Pardosa lugubris,5/30/2018,16.2,13,35,,,,35,NIE,,2584,2046,3835,3629,KAM
KAM_4,Pardosa lugubris,5/30/2018,20.5,17.9,,53,,,53,NIE,,2781,2183,4450,4286,KAM
KAM_5,Pardosa lugubris,5/30/2018,14.6,14.6,29,,,,29,NIE,,2595,2066,3724,3464,KAM
KAM_6,Pardosa lugubris,5/30/2018,21.3,19.5,,48,,,48,NIE,,2921,2252,4493,4513,KAM
KAM_7,Pardosa lugubris,5/30/2018,22.9,22.7,,60,,,60,NIE,,2946,2349,5011,4779,KAM
KAM_8,Pardosa lugubris,5/30/2018,17.2,19.3,38,,,,38,NIE,,2721,2173,3980,4017,KAM
KAM_9,Pardosa lugubris,5/30/2018,21.9,14.9,4,30,,,34,NIE,,2862,2295,4315,4183,KAM
KAM_10,Pardosa lugubris,5/30/2018,18.7,14.1,,36,,,36,NIE,,2741,2232,4403,4011,KAM
KAM_11,Pardosa lugubris,5/30/2018,17,13.6,4,34,,,38,NIE,,2797,2127,4415,4191,KAM
KAM_12,Pardosa lugubris,5/30/2018,23.4,22.7,51,,,,51,NIE,,2938,2300,4254,3970,KAM
KAM_13,Pardosa lugubris,5/30/2018,13.5,4.5,,?,,,,NIE,,2512,1895,3897,4330,KAM
KAM_14,Pardosa lugubris,5/30/2018,16.7,14.3,,42,,,42,NIE,,2636,2056,4281,3956,KAM
KAM_15,Pardosa lugubris,5/30/2018,17.7,16.6,34,,,,34,NIE,,2678,2061,3833,3834,KAM
KAM_16,Pardosa lugubris,5/30/2018,17.4,13,,35,,,35,NIE,,2636,2059,4258,3892,KAM
KAM_17,Pardosa lugubris,5/30/2018,24.4,25,2,56,,,58,NIE,,2985,2437,4702,4785,KAM
KAM_18,Pardosa lugubris,5/30/2018,20.1,17.9,42,,,,42,NIE,,2869,2241,3830,3917,KAM
KAM_19,Pardosa lugubris,5/30/2018,13.5,13.8,23,,,,23,NIE,,2411,1928,3531,3460,KAM
KAM_20,Pardosa lugubris,5/30/2018,21.9,22.1,47,,,,47,NIE,,2918,2349,4545,4433,KAM
KAM_1,Pardosa lugubris,6/5/2018,12,7.3,,21,,,21,NIE,,2341,1851,3292,3282,KAM
KAM_2,Pardosa lugubris,6/5/2018,19.1,15.1,,41,,,41,NIE,,2758,2194,4487,4196,KAM
KAM_3,Pardosa lugubris,6/5/2018,17.2,16.9,,40,,,40,NIE,,2712,2173,4205,3913,KAM
KAM_4,Pardosa lugubris,6/5/2018,14.8,13.5,,38,,,38,NIE,,2659,2019,4092,3937,KAM
KAM_5,Pardosa lugubris,6/5/2018,15.4,12.3,23,,,,23,NIE,,2645,2053,3510,3230,KAM
KAM_6,Pardosa lugubris,6/5/2018,18.8,15.9,37,,,,37,NIE,,2853,2215,3987,3698,KAM
KAM_7,Pardosa lugubris,6/5/2018,15.8,12.2,,27,,,27,NIE,,2674,2104,3974,3699,KAM
KAM_9,Pardosa lugubris,6/5/2018,19.8,17.7,,51,,,51,NIE,,2900,22136,4312,4120,KAM
KAM_10,Pardosa lugubris,6/5/2018,18,12.5,26,,,,26,NIE,,2721,2202,3625,3232,KAM
KAM_11,Pardosa lugubris,6/5/2018,14.3,15.7,,38,,,38,NIE,,2584,2016,3964,3850,KAM
KAM_12,Pardosa lugubris,6/5/2018,19.8,13.6,33,,,,33,NIE,,2864,2185,4327,3924,KAM
KAM_13,Pardosa lugubris,6/5/2018,17,12.6,1,33,,,34,NIE,,2683,2065,3705,3516,KAM
KAM_14,Pardosa lugubris,6/5/2018,18.8,16.7,40,,,,40,NIE,,2775,2215,3945,3941,KAM
KAM_15,Pardosa lugubris,6/5/2018,23.1,18.5,,40,,,40,NIE,,2912,2261,4549,4201,KAM
KAM_17,Pardosa lugubris,6/5/2018,17.4,11.3,,26,,,26,NIE,,2728,2080,3931,3764,KAM
KAM_18,Pardosa lugubris,6/5/2018,11.3,13.3,,30,,,30,NIE,,2525,1918,4099,3770,KAM
KAM_19,Pardosa lugubris,6/5/2018,18.3,18.5,,43,,,43,NIE,,2773,2105,4356,4285,KAM
KAM_20,Pardosa lugubris,6/5/2018,19,19.5,,43,,,43,NIE,,2830,2251,4333,4231,KAM
KAM_21,Pardosa lugubris,6/5/2018,18.7,16.7,39,,,,39,NIE,,2812,2135,4021,3744,KAM
KAM_22,Pardosa lugubris,6/5/2018,16.9,13.5,,23,,,23,NIE,,2674,2085,3786,3664,KAM
KAM_1,Pardosa lugubris,6/21/2018,16.2,10.4,15,,,,15,NIE,,2568,2036,3937,3398,KAM
KAM_2,Pardosa lugubris,6/21/2018,19.3,15.1,19,,,,19,NIE,,2884,2232,4044,3317,KAM
KAM_3,Pardosa lugubris,6/21/2018,19,13.1,,35,,,35,NIE,,2697,2046,3872,3749,KAM
KAM_4,Pardosa lugubris,6/21/2018,21.6,8.8,15,,,,15,NIE,,2914,2145,3405,3235,KAM
KAM_5,Pardosa lugubris,6/21/2018,25.5,16.6,,22,,,22,NIE,,2938,2340,,,KAM
KAM_7,Pardosa lugubris,6/21/2018,18.7,9.9,20,,,,20,NIE,,2575,1997,3539,3360,KAM
KAM_8,Pardosa lugubris,6/21/2018,11.8,8.1,,19,,,19,NIE,,2398,1801,3410,3534,KAM
KAM_9,Pardosa lugubris,6/21/2018,17.2,17.7,,,35,,35,NIE,,2666,2090,4495,4541,KAM
KAM_10,Pardosa lugubris,6/21/2018,14.8,14.1,26,,,,26,NIE,,2682,1997,3797,3595,KAM
KAM_11,Pardosa lugubris,6/21/2018,22.7,9.6,20,,,,20,NIE,,2790,2182,3824,3406,KAM
KAM_12,Pardosa lugubris,6/21/2018,21.6,10.5,12,,,,12,NIE,,2741,2192,3392,3095,KAM
KAM_13,Pardosa lugubris,6/21/2018,13.5,10,22,,,,22,NIE,,2570,1989,3448,3233,KAM
KAM_14,Pardosa lugubris,6/21/2018,13.3,13.6,,,27,,27,NIE,,2399,1923,4382,4095,KAM
KAM_15,Pardosa lugubris,6/21/2018,18.3,9.7,,29,,,29,NIE,,2623,2144,3782,3809,KAM
KAM_2,Pardosa lugubris,7/4/2018,14.6,9.2,1,25,,,26,NIE,,2537,2086,3435,3304,KAM
KAM_3,Pardosa lugubris,7/4/2018,20.9,9.6,2,24,,,26,NIE,,2995,2192,3888,3419,KAM
KAM_5,Pardosa lugubris,7/4/2018,16.7,6.6,2,15,,,17,NIE,,2555,2094,3359,3355,KAM
KAM_6,Pardosa lugubris,7/4/2018,16.4,11.8,,26,,,26,NIE,,2703,2085,3818,3391,KAM
KAM_7,Pardosa lugubris,7/4/2018,17.9,5.2,,10,,,10,NIE,,2957,2317,,,KAM
KAM_8,Pardosa lugubris,7/4/2018,16.4,10.4,21,,,,21,NIE,,2636,1999,3639,3671,KAM
KAM_9,Pardosa lugubris,7/4/2018,22.1,15.1,,2,25,,27,NIE,,2908,2329,3994,3821,KAM
KAM_10,Pardosa lugubris,7/4/2018,18.8,9.7,,18,,,18,NIE,,2839,2145,3599,3346,KAM
KAM_11,Pardosa lugubris,7/4/2018,19.6,10.9,,25,,,25,NIE,,2908,2232,4080,3744,KAM
KAM_12,Pardosa lugubris,7/4/2018,15.7,9.1,19,,,,19,NIE,,2592,1991,3561,3435,KAM
KAM_14,Pardosa lugubris,7/4/2018,14.8,9.2,24,,,,24,NIE,,2592,2059,3467,3148,KAM
KAM_15,Pardosa lugubris,7/4/2018,21.6,12.5,,,28,,28,NIE,,2783,2146,3866,3751,KAM
KAM_16,Pardosa lugubris,7/4/2018,15.5,11.3,24,,,,24,NIE,,2591,1959,3590,3135,KAM
KAM_2,Pardosa lugubris,7/13/2018,20.9,6.6,12,,,,12,NIE,,,,3316,2925,KAM
KAM_3,Pardosa lugubris,7/13/2018,13.6,8.3,,,20,,20,NIE,,2572,1940,3393,3127,KAM
KAM_4,Pardosa lugubris,7/13/2018,22.6,8.4,17,,,,17,NIE,,2909,2184,3221,2605,KAM
KAM_7,Pardosa lugubris,7/13/2018,20.1,13.5,,29,,,29,NIE,,2891,2186,4007,3779,KAM
KAM_8,Pardosa lugubris,7/13/2018,19.2,11.5,,20,,,20,NIE,,2784,2194,3775,3684,KAM
KAM_9,Pardosa lugubris,7/13/2018,17.5,12.5,,27,,,27,NIE,,2752,2173,3854,3565,KAM
KAM_10,Pardosa lugubris,7/13/2018,15.4,10.7,2,25,,,27,NIE,,2699,2134,3743,3415,KAM
KAM_11,Pardosa lugubris,7/13/2018,23.1,8.6,,?,,,,NIE,,2820,2243,4028,3769,KAM
KAM_12,Pardosa lugubris,7/13/2018,20.5,12.6,,25,,,25,NIE,,2762,2144,3942,3825,KAM
KAM_13,Pardosa lugubris,7/13/2018,15.9,7.3,1,,14,,15,NIE,,2468,1860,3380,3207,KAM
KAM_14,Pardosa lugubris,7/13/2018,20.1,12.3,30,,,,30,NIE,,2778,2101,3703,3500,KAM
KAM_15,Pardosa lugubris,7/13/2018,19.8,12.3,,24,,,24,NIE,,2744,2244,3897,3408,KAM
KAM_16,Pardosa lugubris,7/13/2018,16.2,8.4,2,15,,,17,NIE,,2711,2012,3481,3236,KAM
KAM_17,Pardosa lugubris,7/13/2018,16.4,7.8,,?,,,,NIE,,2458,1978,3663,2825,KAM
KAM_18,Pardosa lugubris,7/13/2018,16.1,8.1,,18,,,18,NIE,,2457,2026,3325,3113,KAM
KAM_19,Pardosa lugubris,7/13/2018,22.4,14.1,30,,,,30,NIE,,2839,2261,3843,3432,KAM
KAM_20,Pardosa lugubris,7/13/2018,18.8,8.9,,23,,,23,NIE,,2777,2123,3632,3054,KAM
KAM_1,Pardosa lugubris,7/26/2018,17.2,6.8,,18,,,18,NIE,,2682,2143,3318,3300,KAM
KAM_2,Pardosa lugubris,7/26/2018,17.9,11.7,,26,,,26,NIE,,2780,2241,3979,3895,KAM
KAM_3,Pardosa lugubris,7/26/2018,18.8,6.5,16,,,,16,NIE,,2789,2231,3087,2673,KAM
KAM_4,Pardosa lugubris,7/26/2018,12.6,4.2,6,,,,6,NIE,,2518,1951,2479,2418,KAM
KAM_5,Pardosa lugubris,7/26/2018,15.6,8.9,22,,,,22,NIE,,2668,2118,3120,3079,KAM
KAM_6,Pardosa lugubris,7/26/2018,13.3,5,10,,,,10,NIE,,2574,1918,2775,2166,KAM
KAM_1,Pardosa lugubris,5/23/2019,19.6,18,42,,,,42,NIE,,2873,2207,4526,3683,KAM
KAM_2,Pardosa lugubris,5/23/2019,21.6,13.1,27,,,,27,NIE,,2552,1939,3670,3254,KAM
KAM_3,Pardosa lugubris,5/23/2019,16.9,17.4,20,,,,20,NIE,,2643,2041,3834,3218,KAM
KAM_4,Pardosa lugubris,5/23/2019,18.8,16.7,32,,,,32,NIE,,2697,2119,4035,3626,KAM
KAM_5,Pardosa lugubris,5/23/2019,13.7,7.1,14,,,,14,NIE,,2437,1869,3150,2974,KAM
KAM_6,Pardosa lugubris,5/23/2019,9.9,11.5,?,,,,,NIE,,2540,1897,,,KAM
KAM_7,Pardosa lugubris,5/23/2019,18.7,17.4,34,,,,34,NIE,,2742,2128,4043,3874,KAM
KAM_8,Pardosa lugubris,5/23/2019,18.3,18.8,32,,,,32,NIE,,2584,2075,4020,4014,KAM
KAM_9,Pardosa lugubris,5/23/2019,17.5,14.6,13,,,,13,NIE,,2496,1940,3880,3861,KAM
KAM_10,Pardosa lugubris,5/23/2019,17.4,18.3,43,,,,43,NIE,,2746,2113,3955,3699,KAM
KAM_11,Pardosa lugubris,5/23/2019,18.8,16.9,41,,,,41,NIE,,2784,2123,3769,3680,KAM
KAM_12,Pardosa lugubris,5/23/2019,13.5,13.8,33,,,,33,NIE,,2427,1916,3653,3204,KAM
KAM_13,Pardosa lugubris,5/23/2019,14.9,15.1,37,,,,37,NIE,,2590,2007,3625,3595,KAM
KAM_14,Pardosa lugubris,5/23/2019,16.1,15.1,29,,,,29,NIE,,2603,2015,3722,3611,KAM
KAM_15,Pardosa lugubris,5/23/2019,19.2,17.9,29,,,,29,NIE,,2626,2076,3930,3863,KAM
KAM_16,Pardosa lugubris,5/23/2019,23.2,23.4,46,,,,46,NIE,,3004,2225,4436,4033,KAM
KAM_17,Pardosa lugubris,5/23/2019,20.4,16,30,,,,30,NIE,,2826,2149,3734,3571,KAM
KAM_18,Pardosa lugubris,5/23/2019,16.7,11,13,,,,13,NIE,,2610,1984,3224,3171,KAM
KAM_20,Pardosa lugubris,5/23/2019,18.5,19.6,43,,,,43,NIE,,2690,2086,4150,3800,KAM
KAM_21,Pardosa lugubris,5/23/2019,19.5,12.3,27,,,,27,NIE,,2626,2007,3940,3350,KAM
KAM_22,Pardosa lugubris,5/23/2019,17.4,9.2,19,,,,19,NIE,,2531,1917,3204,3146,KAM
KAM_23,Pardosa lugubris,5/23/2019,29.7,25,54,,,,54,NIE,,3141,2409,4568,4452,KAM
KAM_1,Pardosa lugubris,6/6/2019,19.8,15.4,,,49,,49,NIE,,2670,2225,4530,3917,KAM
KAM_2,Pardosa lugubris,6/6/2019,12.6,10.5,,24,,,24,NIE,,2402,1877,3852,3611,KAM
KAM_3,Pardosa lugubris,6/6/2019,15.1,12.5,,36,,,36,NIE,,2371,2043,4033,3868,KAM
KAM_4,Pardosa lugubris,6/6/2019,14.6,9.7,,,25,,25,NIE,,2461,1934,3642,3327,KAM
KAM_5,Pardosa lugubris,6/6/2019,15.9,8.7,19,,,,19,NIE,,2765,2159,3158,2835,KAM
KAM_6,Pardosa lugubris,6/6/2019,18.3,16.7,,,38,,38,NIE,,2789,2145,4156,4062,KAM
KAM_7,Pardosa lugubris,6/6/2019,17.4,11.5,,,28,,28,NIE,,2640,2064,3842,3528,KAM
KAM_8,Pardosa lugubris,6/6/2019,19,16.1,11,24,,,35,NIE,,2771,2068,4656,4282,KAM
KAM_9,Pardosa lugubris,6/6/2019,20.3,16.4,,,39,,39,NIE,,2831,2176,4333,3976,KAM
KAM_10,Pardosa lugubris,6/6/2019,24.7,22.2,,,53,,53,NIE,,2853,2408,4545,4314,KAM
KAM_11,Pardosa lugubris,6/6/2019,17.2,12.6,,34,,,34,NIE,,2744,2097,4215,3950,KAM
KAM_12,Pardosa lugubris,6/6/2019,19.2,16.4,,,39,,39,NIE,,2821,2068,4352,4143,KAM
KAM_13,Pardosa lugubris,6/6/2019,14.8,10.8,,1,26,,27,NIE,,2213,1935,3896,3706,KAM
KAM_14,Pardosa lugubris,6/6/2019,16.5,14.9,34,,,,34,NIE,,2505,2029,3674,3575,KAM
KAM_15,Pardosa lugubris,6/6/2019,13.9,12,26,,,,26,NIE,,2369,1899,3903,3517,KAM
KAM_16,Pardosa lugubris,6/6/2019,23.1,14.8,,,,,,TAK,POCZWARKA,2997,2394,5830,3455,KAM
KAM_17,Pardosa lugubris,6/6/2019,16.2,12.6,2,28,,,30,NIE,,2655,2064,4144,3717,KAM
KAM_18,Pardosa lugubris,6/6/2019,15.9,14.1,7,29,,,36,NIE,,2547,2000,4204,3827,KAM
KAM_19,Pardosa lugubris,6/6/2019,23.9,17.7,,45,,,45,NIE,,2975,2270,4428,4333,KAM
KAM_20,Pardosa lugubris,6/6/2019,18.4,12.5,,,29,,29,NIE,,2735,2040,3929,3791,KAM
KAM_21,Pardosa lugubris,6/6/2019,15.4,6.8,,,17,,17,NIE,,2557,1931,3905,3095,KAM
KAM_1,Pardosa lugubris,6/19/2019,22.4,15.2,27,,,,27,NIE,,2688,2090,3709,3374,KAM
KAM_2,Pardosa lugubris,6/19/2019,22.1,21.8,,,47,,47,NIE,,2846,2220,4571,4370,KAM
KAM_3,Pardosa lugubris,6/19/2019,16.1,13.5,,,30,,30,NIE,,2769,2069,3985,3933,KAM
KAM_4,Pardosa lugubris,6/19/2019,17.5,18.2,,,,40,40,NIE,,2531,2026,4311,3990,KAM
KAM_5,Pardosa lugubris,6/19/2019,25.2,21.6,,,38,,38,NIE,,3019,2306,4700,4355,KAM
KAM_7,Pardosa lugubris,6/19/2019,20.5,21.1,,,43,,43,NIE,,2836,2179,4496,4273,KAM
KAM_8,Pardosa lugubris,6/19/2019,16.9,17,,,33,,33,NIE,,2707,2107,4097,3816,KAM
KAM_9,Pardosa lugubris,6/19/2019,18.2,14.9,30,,,,30,NIE,,2874,2216,4016,3905,KAM
KAM_10,Pardosa lugubris,6/19/2019,16.2,14.4,,,40,,40,NIE,,2753,1855,4447,4016,KAM
KAM_11,Pardosa lugubris,6/19/2019,18.8,18.3,,,,45,45,NIE,,2773,2094,4359,4143,KAM
KAM_12,Pardosa lugubris,6/19/2019,15.3,8.7,,,26,,26,NIE,,2698,2001,3825,3557,KAM
KAM_13,Pardosa lugubris,6/19/2019,16.2,15.9,,,35,,35,NIE,,2646,1982,4387,3772,KAM
KAM_14,Pardosa lugubris,6/19/2019,19.3,11.8,,,30,,30,NIE,,2887,2164,3963,3936,KAM
KAM_15,Pardosa lugubris,6/19/2019,21.4,14.2,,,?,,,NIE,,2898,2236,3658,3245,KAM
KAM_16,Pardosa lugubris,6/19/2019,16.8,8.1,?,,,,,NIE,,2637,2083,3611,2922,KAM
KAM_17,Pardosa lugubris,6/19/2019,18.7,10.2,,,25,,25,NIE,,2575,1940,4040,3509,KAM
KAM_18,Pardosa lugubris,6/19/2019,13.1,14.6,,,,35,35,NIE,,2650,2001,4393,3655,KAM
KAM_19,Pardosa lugubris,6/19/2019,20.5,15.1,,,40,,40,NIE,,2830,2236,4496,3753,KAM
KAM_20,Pardosa lugubris,6/19/2019,18.2,,,,,,,NIE,,2855,2115,,,KAM
KAM_21,Pardosa lugubris,6/19/2019,17.9,19.6,,,42,,42,NIE,,2912,2193,4411,4393,KAM
KAM_22,Pardosa lugubris,6/19/2019,15.6,15.2,,,30,,30,NIE,,2593,2052,3872,3858,KAM
KAM_1,Pardosa lugubris,7/5/2019,13.8,8.6,,,20,,20,NIE,,2545,2094,4121,3386,KAM
KAM_2,Pardosa lugubris,7/5/2019,13.9,6.9,,,15,,15,NIE,,2479,1925,3588,2718,KAM
KAM_3,Pardosa lugubris,7/5/2019,20.5,12.8,31,,,,31,NIE,,2736,2130,3628,3319,KAM
KAM_4,Pardosa lugubris,7/5/2019,14,9.2,,,24,,24,NIE,,2558,1945,4033,3599,KAM
KAM_5,Pardosa lugubris,7/5/2019,14.3,7.4,12,,,,12,NIE,,2449,1907,3427,3330,KAM
KAM_6,Pardosa lugubris,7/5/2019,20.9,14.7,27,,,,27,NIE,,2806,2183,3554,3456,KAM
KAM_1,Pardosa lugubris,7/17/2019,15.1,7.8,,,16,,16,NIE,,2602,2120,3456,2975,KAM
KAM_2,Pardosa lugubris,7/17/2019,17.4,11.2,,,23,,23,NIE,,2688,2064,3777,3758,KAM
KAM_3,Pardosa lugubris,7/17/2019,21.8,7.8,10,,,,10,NIE,,2883,2243,3018,2824,KAM
KAM_4,Pardosa lugubris,7/17/2019,20.1,14.6,27,,,,27,NIE,,2728,2152,3792,3683,KAM
KAM_5,Pardosa lugubris,7/17/2019,20.6,8.1,16,,,,16,NIE,,2684,2094,3176,3017,KAM
KAM_6,Pardosa lugubris,7/17/2019,17.2,10.5,12,,,,12,NIE,,2589,2057,3752,3426,KAM
KAM_7,Pardosa lugubris,7/17/2019,19.2,13,,,28,,28,NIE,,2744,2101,3800,3769,KAM
KAM_8,Pardosa lugubris,7/17/2019,19.5,11.7,,,,24,24,NIE,,2772,2199,3961,3793,KAM
KAM_9,Pardosa lugubris,7/17/2019,21.9,8.6,,,21,,21,NIE,,2994,2318,3394,3294,KAM
KAM_10,Pardosa lugubris,7/17/2019,20.7,6.3,,,18,,18,NIE,,2975,2167,3528,3130,KAM
KAM_11,Pardosa lugubris,7/17/2019,15.7,6.1,13,,,,13,NIE,,2543,2037,2841,2753,KAM
KAM_12,Pardosa lugubris,7/17/2019,13.9,1.1,5,,,,5,NIE,,2566,2021,2302,2521,KAM
KAM_13,Pardosa lugubris,7/17/2019,23.9,10.7,25,,,,25,NIE,,2892,2294,3734,3424,KAM
KAM_14,Pardosa lugubris,7/17/2019,21.3,9.8,18,,,,18,NIE,,2846,2251,3236,3031,KAM
KAM_15,Pardosa lugubris,7/17/2019,18.2,10,,,26,,26,NIE,,2586,2106,3922,3388,KAM
KAM_16,Pardosa lugubris,7/17/2019,20.1,12.3,28,,,,28,NIE,,2778,2080,4325,3252,KAM
KAM_17,Pardosa lugubris,7/17/2019,17.4,12.2,,,25,,25,NIE,,2653,2188,4082,3680,KAM
KAM_18,Pardosa lugubris,7/17/2019,21.9,10.5,22,,,,22,NIE,,2799,2200,3772,3001,KAM
KAM_1,Pardosa lugubris,7/30/2019,19.8,15.9,,,,32,32,NIE,,2663,2195,4487,3715,KAM
KAM_2,Pardosa lugubris,7/30/2019,20.5,11,,,23,,23,NIE,,2829,2230,4062,3415,KAM
KAM_3,Pardosa lugubris,7/30/2019,20.9,6.6,,,14,,14,NIE,,2677,2003,3376,3197,KAM
KAM_4,Pardosa lugubris,7/30/2019,15.6,11.7,,,22,,22,NIE,,2476,2035,4322,3350,KAM
KAM_5,Pardosa lugubris,7/30/2019,17.5,13.8,,,,23,23,NIE,,2655,2208,4086,3746,KAM
KAM_1,Pardosa lugubris,8/6/2019,18.7,14.6,,,25,,25,NIE,,2655,2121,4128,3803,KAM
KAM_2,Pardosa lugubris,8/6/2019,22.6,5.6,?,,,,,NIE,,2964,2277,2880,2047,KAM
